speed_p,speed_r,speed_d,distance_d_p,distance_d_r,angle_d,possTimePre,possessionTime,flag
3.05,1.50,6.29,10.30,13.44,2.02,0.76,2.20,1
3.89,4.26,8.00,3.96,19.38,1.96,0.32,4.04,1
3.58,0.56,3.58,5.86,7.08,3.06,2.36,6.72,1
0.79,1.27,2.80,11.11,10.98,2.56,0.16,17.72,1
2.70,2.24,0.79,7.92,2.31,0.25,0.00,20.44,1
4.26,1.68,3.72,17.10,6.07,2.82,0.00,1.08,1
4.12,4.04,3.69,3.81,6.36,0.22,0.00,1.92,1
2.55,5.06,7.46,19.68,12.65,0.53,0.00,6.56,1
3.29,1.12,4.42,8.28,13.28,0.04,0.00,17.52,1
3.81,1.35,7.04,6.53,12.13,1.42,2.96,22.60,1
1.58,2.37,0.50,3.55,14.32,0.78,1.08,24.60,1
3.75,4.74,3.51,5.92,11.86,0.08,0.72,26.24,1
2.93,4.78,8.06,7.32,9.62,0.30,0.04,27.56,1
6.05,3.36,5.50,9.90,28.54,2.14,1.32,32.56,1
7.25,6.04,4.26,7.60,2.82,0.41,1.36,69.36,1
3.55,1.80,1.41,1.88,8.80,0.29,5.28,75.48,1
2.66,1.46,5.15,4.26,5.65,0.11,1.76,78.32,1
3.72,4.03,4.96,9.10,27.16,2.47,1.00,86.16,1
4.37,5.01,3.75,2.21,11.20,3.08,2.88,89.88,1
2.76,2.51,1.77,0.94,0.95,1.02,3.04,10.36,1
2.50,2.24,1.03,2.09,16.95,0.18,1.40,12.20,0
6.05,1.77,7.57,8.23,21.97,1.58,2.60,4.64,1
5.83,3.58,4.56,19.22,30.98,0.44,1.68,9.36,1
2.61,1.90,0.79,1.90,16.40,0.74,0.20,10.36,1
4.65,0.71,2.02,4.02,4.96,0.21,4.88,15.24,1
5.35,1.60,1.03,3.21,21.11,0.27,3.40,18.64,0
3.47,8.68,6.18,18.18,16.74,1.57,0.56,2.44,1
3.58,4.03,1.77,2.06,10.38,0.46,1.36,27.36,1
1.25,5.70,4.61,9.63,3.81,0.06,2.36,30.84,0
4.78,1.00,1.95,2.24,7.02,2.03,2.04,2.28,1
2.85,1.68,4.30,3.54,13.92,0.44,3.64,3.64,0
4.19,6.13,3.82,11.54,7.73,0.91,10.48,12.04,0
4.61,3.34,3.82,1.56,15.32,1.60,1.12,2.48,1
10.62,0.71,6.08,2.38,10.45,2.66,2.20,5.68,1
2.06,2.26,1.58,6.94,13.60,1.68,0.52,7.52,1
3.95,0.50,7.95,2.44,12.59,1.21,4.40,12.44,1
3.36,1.52,6.08,7.52,14.70,0.15,2.32,13.44,0
8.14,5.02,5.85,5.71,15.73,1.31,2.04,3.20,1
5.62,8.63,6.60,14.92,20.44,0.76,1.20,7.96,1
5.88,3.13,1.41,2.97,6.71,1.23,5.52,13.88,1
2.02,3.72,7.76,7.43,3.31,2.19,0.56,14.60,1
1.35,0.56,0.79,4.62,6.95,0.70,0.48,15.76,1
5.03,2.15,1.90,33.10,1.63,2.16,2.60,19.40,0
2.02,4.37,3.61,25.00,14.71,0.08,0.00,0.04,1
1.46,1.46,3.72,4.10,4.10,3.12,0.48,0.52,1
3.34,3.78,5.02,2.96,6.00,2.92,1.12,14.40,1
4.43,1.60,8.06,5.01,21.95,0.28,1.36,16.84,1
1.12,0.90,5.41,34.98,13.26,0.02,1.64,24.56,0
4.60,2.02,3.91,3.62,41.13,0.12,7.44,9.52,0
5.34,2.46,5.26,9.90,9.54,2.51,1.24,1.24,1
3.01,4.70,2.93,7.29,5.71,0.23,1.64,2.00,0
2.00,2.66,3.47,7.74,10.56,2.15,3.36,4.36,1
2.61,1.58,2.06,7.11,7.12,0.87,0.12,5.60,1
3.76,2.57,3.26,3.47,18.32,2.96,1.32,9.20,1
3.01,4.10,3.54,4.17,15.42,0.98,0.96,10.96,1
1.41,1.41,5.10,8.79,4.96,1.49,0.76,12.28,1
4.10,4.51,3.76,4.18,31.94,0.28,0.36,14.12,1
1.82,2.55,1.46,2.02,2.48,0.93,0.96,16.08,1
1.41,5.13,5.62,2.86,7.84,3.13,0.72,17.60,1
2.37,6.56,6.75,8.13,11.90,1.21,3.04,20.84,1
3.05,5.52,2.14,12.24,31.85,1.10,0.00,26.20,1
5.34,3.29,5.93,4.97,5.86,1.70,0.00,26.56,1
1.03,4.45,3.36,8.90,10.66,1.81,4.60,31.56,0
1.25,6.09,2.93,3.90,19.74,2.55,1.24,3.48,1
3.26,4.07,4.92,2.72,2.87,0.39,0.64,0.64,1
2.85,1.27,1.06,2.25,8.67,2.40,4.44,5.32,1
5.59,1.12,0.56,14.81,1.30,0.71,4.96,11.16,1
3.00,0.35,1.50,29.46,86.42,0.06,0.40,14.52,0
3.89,2.70,13.73,11.13,15.07,1.43,3.56,5.08,1
1.50,1.68,3.69,3.40,8.54,0.94,3.60,9.00,1
1.12,2.55,1.75,3.49,18.75,0.08,3.08,13.16,1
5.30,5.27,2.66,15.49,43.93,0.29,0.20,15.36,0
5.26,4.01,5.37,5.35,24.81,0.53,0.24,1.68,1
4.43,0.25,2.36,3.13,32.88,0.54,0.40,4.00,1
6.75,2.02,0.90,12.70,16.17,0.26,1.76,8.56,1
