speed_p	speed_r	speed_d	distance_d_p	distance_d_r	distance_d1_p	distance_d2_r	angle_d	angle_d1_p	angle_d2_r	possTimePre	possessionTime	flag
0.56	0.35	2.92	10.3	13.44	9.83	13.44	2.02	1.94	0.75	0.76	2.2	1
1.25	3.48	5.53	3.96	19.38	3.96	19.38	1.96	1.96	0.56	0.32	4.04	1
4.01	0.79	2.76	5.86	7.08	4.54	6.37	3.06	0.32	0.3	2.36	6.72	1
2.26	1.03	0.5	18.97	0.95	10.26	0.95	1.39	0.13	0.23	0.16	17.72	1
1.27	1.41	2.5	1.32	8.63	1.32	2.31	0.22	0.22	2.83	0	20.44	1
4.65	6.25	4.45	17.1	6.07	4.14	1.13	2.82	0	2.12	0	1.08	1
1.68	4.51	3.72	3.81	6.36	1.8	6.36	0.22	1.33	2.42	0	1.92	1
4.04	6.6	3.69	3.48	10.5	3.48	10.5	2.87	2.87	0.9	0	6.56	1
3.4	0.56	4.96	8.28	13.28	8.28	13.28	0.04	0.04	0.06	0	17.52	1
3.88	2.69	6.49	6.53	12.13	3.06	12.13	1.42	0.32	0.01	2.96	22.6	1
0.75	0.56	5.4	3.55	14.32	3.55	8.65	0.78	0.78	3.12	1.08	24.6	1
2.25	2.46	0.56	5.92	11.86	3.54	9.8	0.08	1.48	1.09	0.72	26.24	1
4.19	2.25	4.45	1.17	13.7	1.17	9.44	2.3	2.3	1.48	0.04	27.56	1
6.26	1.8	0.56	23.88	12.06	2.81	12.06	1.01	2.93	0.91	1.32	32.56	1
6.9	4.81	12.85	3.11	7.02	3.11	2.82	1.67	1.67	1.85	1.36	69.36	1
4.47	2	1.06	1.88	8.8	1.88	2.1	0.29	0.29	2.51	5.28	75.48	1
2.15	1.6	0.5	4.26	5.65	4.26	5.62	0.11	0.11	0.62	1.76	78.32	1
1.12	2.25	7.27	5.38	30.44	2.18	17.72	0.31	2.34	0.23	1	86.16	1
2.83	4.07	8.88	2.21	11.2	2.21	3.02	3.08	3.08	0.09	2.88	89.88	1
2.76	2.51	1.77	0.94	0.95	0.94	0.95	1.02	1.02	1.89	3.04	10.36	1
2.26	3.54	1.35	2.09	1.14	2.09	1.14	1.74	1.74	1	1.4	12.2	0
2.14	1.9	5.76	8.23	21.97	4.12	19.12	1.58	1.75	1.15	2.6	4.64	1
3.16	2.8	3.88	19.22	30.98	2.41	13.1	0.44	0.81	0.41	1.68	9.36	1
2.75	5.3	5.1	1.9	16.4	1.9	7.88	0.74	0.74	2.57	0.2	10.36	1
4.65	0.71	2.02	4.02	4.96	3.39	4.96	0.21	2.88	2.67	4.88	15.24	1
5.35	1.6	1.03	3.21	21.11	3.21	9.24	0.27	0.27	0.36	3.4	18.64	0
0.9	6.17	1.46	21.99	9.3	1.91	1.22	1.05	2	2.67	0.56	2.44	1
2.51	4.76	3.81	2.06	10.38	2.06	6.45	0.46	0.46	0.07	1.36	27.36	1
1.6	3.78	3.4	9.63	3.81	2.19	1.53	0.06	0.78	2.78	2.36	30.84	0
4.28	1.25	1.25	2.24	7.02	1.02	7.02	2.03	2.13	0.78	2.04	2.28	1
2.85	1.68	4.3	3.54	13.92	3.54	2.88	0.44	0.44	0.8	3.64	3.64	0
3.36	1.35	5.7	11.54	33.97	0.7	5.38	0.06	0.55	0.91	10.48	12.04	0
4.6	8.5	6.33	1.56	15.32	1.56	15.32	1.6	1.6	0.64	1.12	2.48	1
4.37	4.26	4.59	2.38	10.45	2.38	10.45	2.66	2.66	0.32	2.2	5.68	1
2.51	3.4	5.27	6.94	13.6	6.94	13.6	1.68	1.68	1.01	0.52	7.52	1
3.51	2.14	5.1	2.44	12.59	2.44	12.59	1.21	1.21	1.48	4.4	12.44	1
3.05	0.56	3.13	7.52	14.7	1.46	2.14	0.15	0.37	0.45	2.32	13.44	0
2.8	5.62	5.06	5.71	15.73	2.44	13.9	1.31	1.38	0.72	2.04	3.2	1
10.08	8.51	5.46	21.71	6.94	12.46	6.94	2.63	0.85	0.09	1.2	7.96	1
8.59	3.2	3.25	2.97	6.71	2.97	6	1.23	1.23	1.95	5.52	13.88	1
1.9	3.64	8.55	7.43	3.31	6.68	3.31	2.19	0.1	0.75	0.56	14.6	1
2.92	1.25	3.01	5.35	5.49	4.62	5.49	0.56	0.7	2.42	0.48	15.76	1
3.01	1.6	1	33.1	1.63	1.41	1.63	2.16	0.56	0.53	2.6	19.4	0
1.9	4.47	4.1	25	14.71	1.71	5.36	0.08	2.34	1.35	0	0.04	1
1.46	1.46	3.72	4.1	4.1	4.1	4.1	3.12	3.12	3.12	0.48	0.52	1
3.34	3.78	5.02	2.96	6	2.96	6	2.92	2.92	0.05	1.12	14.4	1
3.95	1.25	6.73	5.01	21.95	5.01	21.95	0.28	0.28	0.39	1.36	16.84	1
1.25	1.75	1.82	34.98	13.26	3.62	13.26	0.02	1.39	0.6	1.64	24.56	0
1.35	0.25	6.79	3.62	15.7	3.62	13.34	0.14	0.14	0.77	7.44	9.52	0
5.34	2.46	5.26	9.9	9.54	8.3	5.59	2.51	0.65	2.86	1.24	1.24	1
1.46	3.26	3.55	7.29	5.71	4.85	4.25	0.23	3.04	1.35	1.64	2	0
2.3	2.26	1	6.73	10.72	6.29	10.56	1.92	1.38	0.75	3.36	4.36	1
2.12	0.9	3.01	7.11	7.12	7.11	7.12	0.87	0.87	1.77	0.12	5.6	1
4.51	3.04	5.71	5.91	10.06	3.47	10.06	2.7	2.96	0.26	1.32	9.2	1
1.95	3.29	14.45	4.17	15.42	4.17	10.46	0.98	0.98	1.94	0.96	10.96	1
1.68	2.7	5.88	8.79	4.96	8.79	4.96	1.49	1.49	1.25	0.76	12.28	1
0.79	2.55	0.56	4.18	31.94	4.18	5.77	0.28	0.28	0.13	0.36	14.12	1
1.27	2.92	1.35	2.02	2.48	2.02	2.48	0.93	0.93	2.04	0.96	16.08	1
6.18	1.58	0.25	2.86	7.84	2.86	7.69	3.13	3.13	0.7	0.72	17.6	1
2.61	5.84	5.4	8.13	11.9	8.13	11.9	1.21	1.21	1.26	3.04	20.84	1
6.56	3.72	2.12	32.62	10.34	10.87	10.34	0.63	1.06	1.04	0	26.2	1
5.52	2.85	6.31	4.97	5.86	4.97	4.85	1.7	1.7	0.96	0	26.56	1
2.55	3.61	3.05	8.9	10.66	5.6	7.57	1.81	0.17	0.67	4.6	31.56	0
0.56	7.21	6.29	13.15	9.79	3.9	9	1.91	2.55	0.39	1.24	3.48	1
3.26	4.07	4.92	2.72	2.87	2.72	2.87	0.39	0.39	0.47	0.64	0.64	1
2.8	1.52	0.35	2.25	8.67	2.25	4.2	2.4	2.4	2.47	4.44	5.32	1
6.41	0.56	4.16	7.13	6.99	4.03	1.3	0.95	2.98	2.71	4.96	11.16	1
1	1.12	1.9	29.46	86.42	1.91	42.65	0.06	0.75	0.35	0.4	14.52	0
3.26	3	1.77	11.13	15.07	10.4	15.07	1.43	1.85	1.06	3.56	5.08	1
0.79	2.15	3.01	3.4	8.54	3.4	8.13	0.94	0.94	2.28	3.6	9	1
1.06	0.25	2.15	3.49	18.75	3.49	8.29	0.08	0.08	2.21	3.08	13.16	1
3.34	1.8	0.79	15.49	56.99	4.33	14.15	0.01	0.18	0.25	0.2	15.36	0
3.61	3.4	5.27	5.35	24.81	5.35	12.26	0.53	0.53	2.36	0.24	1.68	1
3.69	1.35	6.4	3.13	32.88	3.13	28.13	0.54	0.54	0.35	0.4	4	1
0.35	4.37	3.95	12.7	16.17	2.06	2.48	0.26	1.87	0.41	1.76	8.56	1
4.85	2.46	3.54	1	7.98	1	4.36	0.19	0.19	0.01	0	10.56	1
2.3	2.02	4.51	5.23	13.02	5.23	10.38	0.95	0.95	0.87	0	48.56	1
2.37	0.35	2.3	1.14	5.12	1.14	5.12	1.97	1.97	0.55	2.24	23.36	1
3.09	5.76	3.01	8.5	7.31	5.46	3.74	0.13	0.26	0.18	0	34.96	1
1.9	5.02	1.52	6	8.4	3.18	8.4	0.11	1.94	2.78	3.28	39.84	0
4.98	4.6	6.6	2.2	3.4	2.2	3.4	2.26	2.26	0.49	1.12	1.12	0
3.69	5.51	4.72	17.11	11.02	3.04	3.08	1	1.54	1.59	3.6	4.84	1
4.74	1.52	3.16	8.4	51.8	4.11	8.3	0.01	0.04	0.18	0	7.32	0
2.8	5.53	5.06	14.45	19.98	12.78	19.98	0.21	1.06	0.42	6.48	7.12	1
2.57	3.29	4.14	32.42	2.62	5.84	2.62	0.05	0.01	2.15	2.4	12.32	0
3.26	3.55	2.93	5	18.12	1.56	7.02	0.64	2.13	0.67	2.28	3.32	1
0.35	1.27	1.8	40.65	4.19	18.41	4.19	0	0.29	0.88	13.4	22.04	0
3.58	1.9	7.79	2.26	10.62	2.26	10.62	2.97	2.97	0.1	0	0.24	1
0.71	0.25	2.14	11.52	7.93	4.03	6.09	0.08	0.39	0.23	2.84	6.28	0
4.25	1.25	2.3	7.71	0.85	2.85	0.85	2.39	1.41	2.81	2	2.36	1
1	4.78	5.7	5.13	3.22	5.13	3.22	0.29	0.29	2.91	1.08	3.44	1
10.51	1.46	6.13	1.61	5.28	1.61	5.28	0.87	0.87	2.32	2	6.08	1
2.25	6.15	7.91	2.33	2.75	2.33	2.75	2.69	2.69	2.89	0.96	7.04	1
2.5	1.03	0.9	7.33	71	2.28	42.84	0.05	0.87	0.3	2.2	10.8	0
3.54	5.7	6.08	4.59	9.78	4.59	9.78	1.59	1.59	1.22	0.96	2.12	1
1.25	3.26	3.82	0.85	12.73	0.85	2.72	1.71	1.71	1.39	2.8	7.16	1
3.58	0.79	5.02	8.01	13.1	2.69	4.56	0.49	2.86	0.32	1.48	9.4	0
5.9	1.27	1.41	21.24	16.51	1.5	3.12	0.26	1.71	1.35	0.8	3.96	0
1.82	6.08	4.78	20.54	1.39	2.55	1.39	2.82	2.9	0.05	1.96	9.68	0
1.27	1.25	0.71	2.4	16.34	2.4	12.66	0.86	0.86	1.61	0	1.6	1
0.56	1.58	4.47	3.01	7.54	3.01	7.54	1.44	1.44	0.17	1.16	3.2	1
1.03	2.66	3.35	2.32	15.43	2.32	13.98	1.98	1.98	0.06	1.4	5.56	1
