speed_p,speed_r,speed_d,distance_d_p,distance_d_r,distance_d1_p,distance_d2_r,angle_d,angle_d1_p,angle_d2_r,possTimePre,possessionTime,flag
0.50,0.35,1.77,10.70,14.04,10.11,14.04,2.01,1.94,0.77,0.52,2.20,1
1.25,3.29,5.80,5.02,19.83,5.02,19.83,1.98,1.98,0.55,0.12,4.04,1
5.37,1.25,2.83,6.27,7.87,4.66,5.22,3.07,0.33,0.13,2.12,6.72,1
2.51,1.00,0.35,19.17,0.98,10.11,0.98,1.39,0.13,0.23,0.08,17.72,1
1.27,1.41,2.50,1.32,8.63,1.32,2.31,0.22,0.22,2.83,0.00,20.44,1
4.65,6.25,4.45,17.10,6.07,4.14,1.13,2.82,0.00,2.12,0.00,1.08,1
1.68,4.51,3.72,3.81,6.36,1.80,6.36,0.22,1.33,2.42,0.00,1.92,1
4.04,6.60,3.69,3.48,10.50,3.48,10.50,2.87,2.87,0.90,0.00,6.56,1
3.40,0.56,4.96,8.28,13.28,8.28,13.28,0.04,0.04,0.06,0.00,17.52,1
3.78,3.13,6.50,6.58,12.61,2.83,12.61,1.37,0.21,0.00,2.84,22.60,1
0.75,0.35,6.43,4.40,14.12,4.40,8.32,0.77,0.77,3.12,0.92,24.60,1
2.02,0.71,0.56,6.30,12.05,4.67,11.22,0.10,1.51,1.05,0.52,26.24,1
4.74,2.02,4.65,1.20,13.50,1.20,9.49,2.02,2.02,1.49,0.00,27.56,1
8.05,1.46,0.56,24.22,12.18,2.33,12.18,0.97,2.69,0.91,1.20,32.56,1
5.67,4.14,4.70,9.60,3.83,5.35,3.83,0.48,1.21,1.74,1.04,69.36,1
1.75,1.52,2.92,1.56,10.21,1.56,1.97,2.46,2.46,2.71,4.40,75.48,1
3.40,0.71,1.12,4.95,5.34,4.95,5.34,0.08,0.08,0.28,1.56,78.32,1
1.25,2.00,9.10,6.17,29.83,1.89,17.73,0.25,2.43,0.23,0.92,86.16,1
3.88,4.27,10.55,4.30,12.24,4.30,3.89,2.85,2.85,0.12,2.56,89.88,1
2.76,2.51,1.77,0.94,0.95,0.94,0.95,1.02,1.02,1.89,3.04,10.36,1
2.46,2.02,1.46,0.81,15.89,0.81,2.60,0.02,0.02,1.28,0.12,12.20,0
1.82,1.82,5.50,7.86,22.46,3.96,19.53,1.60,1.76,1.14,2.48,4.64,1
5.15,2.76,4.85,20.87,28.67,3.91,11.65,0.39,0.75,0.41,1.12,9.36,1
3.58,6.01,5.51,1.80,16.84,1.80,7.75,0.78,0.78,2.54,0.00,10.36,1
4.65,0.71,2.02,4.02,4.96,3.39,4.96,0.21,2.88,2.67,4.88,15.24,1
3.01,4.12,0.25,8.71,17.94,2.97,12.43,0.28,0.94,0.96,2.04,18.64,0
