speed_p	speed_r	speed_d	distance_d_p	distance_d_r	distance_d1_p	distance_d2_r	angle_d	angle_d1_p	angle_d2_r	possTimePre	possessionTime	reward	flag
0.5	0.35	1.77	10.7	14.04	10.11	14.04	1.15	1.97	0.77	0.52	2.2	0	1
1.25	3.29	5.8	5.02	19.83	5.02	19.83	1.83	1.83	0.25	0.12	4.04	0	1
5.37	1.25	2.83	6.27	7.87	4.66	5.22	0.73	1.97	2.36	2.12	6.72	0	1
2.51	1	0.35	19.17	0.98	10.11	0.98	0.04	2.18	2.17	0.08	17.72	0	1
1.27	1.41	2.5	1.32	8.63	1.32	2.31	2.76	2.76	1.65	0	20.44	0	1
4.65	6.25	4.45	17.1	6.07	4.14	1.13	0.08	2.74	2.3	0	1.08	0	1
1.68	4.51	3.72	3.81	6.36	1.8	6.36	0.06	1.17	0.04	0	1.92	0	1
4.04	6.6	3.69	3.48	10.5	3.48	10.5	2.58	2.58	0.18	0	6.56	0	1
3.4	0.56	4.96	8.28	13.28	8.28	13.28	1.59	1.59	0.67	0	17.52	0	1
3.78	3.13	6.5	6.58	12.61	2.83	12.61	0.78	1.95	0.38	2.84	22.6	0	1
0.75	0.35	6.43	4.4	14.12	4.4	8.32	1.02	1.02	1	0.92	24.6	0	1
2.02	0.71	0.56	6.3	12.05	4.67	11.22	0.36	1.77	1.22	0.52	26.24	0	1
4.74	2.02	4.65	1.2	13.5	1.2	9.49	1.56	1.56	1.07	0	27.56	0	1
8.05	1.46	0.56	24.22	12.18	2.33	12.18	0.25	2.37	0.52	1.2	32.56	0	1
5.67	4.14	4.7	9.6	3.83	5.35	3.83	0.34	1.11	0.98	1.04	69.36	0	1
1.75	1.52	2.92	1.56	10.21	1.56	1.97	0.73	0.73	1.09	4.4	75.48	0	1
3.4	0.71	1.12	4.95	5.34	4.95	5.34	0.01	0.01	0.01	1.56	78.32	0	1
1.25	2	9.1	6.17	29.83	1.89	17.73	0.03	2.8	0.62	0.92	86.16	0	1
3.88	4.27	10.55	4.3	12.24	4.3	3.89	0.69	0.69	2.23	2.56	89.88	0	1
2.76	2.51	1.77	0.94	0.95	0.94	0.95	1.14	1.14	1.12	3.04	10.36	0	1
2.46	2.55	1.46	0.81	1.22	0.81	1.22	1.05	1.05	0.61	0.12	12.2	0	0
1.82	1.82	5.5	7.86	22.46	3.96	19.53	0.46	1.49	1.14	2.48	4.64	0	1
5.15	2.76	4.85	20.87	28.67	3.91	11.65	0.02	0.15	0.63	1.12	9.36	0	1
3.58	6.01	5.51	1.8	16.84	1.8	7.75	0.8	0.8	2.06	0	10.36	0	1
4.65	0.71	2.02	4.02	4.96	3.39	4.96	0.45	0.66	0.36	4.88	15.24	0	1
3.01	2.5	0.25	8.71	9.88	2.97	9.88	0.28	1.86	0.25	2.04	18.64	0	0
0.79	5.62	1.35	21.69	9.21	1.84	1.22	0.05	0.56	2.81	0.4	2.44	0	1
1.6	3.35	4.26	6.61	11.68	6.61	7.61	1.02	1.02	2.31	0	27.36	0	1
2.5	1.25	3.64	10.16	18.03	1.58	4.82	0.01	0.75	1.28	2.2	30.84	0	0
3.58	2.46	5.06	0.73	8.17	0.73	6.36	1.08	1.08	0.24	1.36	2.28	0	1
2.46	4.81	3.26	1.26	2.19	1.26	2.19	1.46	1.46	0.61	2.32	3.64	0	0
3.95	1.58	3.95	9.21	12.37	0.51	6.51	0.07	1.92	2.64	4.56	12.04	0	0
4.91	8	7.25	1.39	15	1.39	15	1.16	1.16	0.08	0.92	2.48	0	1
2.14	4.61	3.26	6.56	11.42	6.56	11.42	1.47	1.47	0.61	1.8	5.68	0	1
0.71	3.75	5	9.74	12.05	8.67	12.05	0.79	1.62	0.61	0	7.52	0	1
4.51	2.61	4.32	2.5	13.18	2.5	13.18	1.82	1.82	0.18	4.12	12.44	0	1
3.02	2.36	2.24	7.59	6.42	1.17	6.42	0.32	1.08	0.38	2	13.44	0	0
1.68	4.16	6.8	2.01	19.22	2.01	13.81	1.6	1.6	0.81	1.68	3.2	0	1
6.01	9.57	4.26	20.55	4.68	14.94	4.68	0.21	1.17	1.96	0.44	7.96	0	1
4.56	5.06	3.29	6.26	20.32	5.32	2.01	0.03	0.09	1.3	2.92	13.88	0	1
3.13	5.88	1.41	6.41	1.9	6.13	1.9	0.27	1.57	1.11	0	14.6	0	1
3.72	2.02	7.76	4.14	6.76	4.14	6.76	0.64	0.64	0.37	0	15.76	0	1
3.4	0.71	1.27	37.52	2.02	2.67	2.02	0.05	1.91	2.01	1.16	19.4	0	0
1.9	4.47	4.1	25	14.71	1.71	5.36	0.02	2.44	0.61	0	0.04	0	1
1.46	1.46	3.72	4.1	4.1	4.1	4.1	1.55	1.55	1.55	0.48	0.52	0	1
3.34	3.78	5.02	2.96	6	2.96	6	0.16	0.16	0.08	1.12	14.4	0	1
3.78	0.5	5.02	6	28.58	6	28.48	2.29	2.29	0.68	0	16.84	0	1
1.46	3.25	1.77	35.07	12.97	3.76	7.74	0.36	1.01	2.39	1.52	24.56	0	0
1.27	5.48	4.56	2.56	2.95	2.56	2.95	0.06	0.06	0.05	7.28	9.52	0	0
5.34	2.46	5.26	9.9	9.54	8.3	5.59	0.44	2.72	1.24	1.24	1.24	1	1
5.03	1.68	2.57	5.13	6.55	5.13	3.38	0.08	0.08	0.61	1.24	2	0	0
3.82	1.12	1.58	4.3	11.23	4.3	11.04	2.44	2.44	0.52	2.96	4.36	0	1
2.66	2	3.47	7.16	7.27	7.16	7.27	0.55	0.55	0.54	0	5.6	0	1
1.75	2.85	2.61	4.46	12.3	4.08	12.3	0.64	2.01	0.22	0.08	9.2	0	1
1.46	4.85	14.77	6.59	17.04	6.59	8.63	1.72	1.72	1.53	0.8	10.96	0	1
3.01	3.4	5.25	10.67	3.76	7.12	3.76	0.29	0.91	0.93	0.44	12.28	0	1
0.79	2.85	1.27	4.3	32.32	4.3	5.79	0.09	0.09	1.1	0.2	14.12	0	1
3.76	3.54	5.96	5.2	3	5.2	3	0.61	0.61	1.43	0.12	16.08	0	1
7.12	1.68	2.15	3.75	8.3	3.75	7.42	0.7	0.7	2.02	0.52	17.6	0	1
0.71	5.13	4.96	7.38	13.35	7.38	13.25	0.96	0.96	0.53	2.72	20.84	0	1
6.56	3.72	2.12	32.62	10.34	10.87	10.34	0.06	0.56	0.2	0	26.2	0	1
5.52	2.85	6.31	4.97	5.86	4.97	4.85	0.2	0.2	1.89	0	26.56	0	1
5.1	2.92	6.25	2.41	8.87	2.41	4.49	0.02	0.02	2.73	2.52	31.56	0	0
0	7.29	5.8	12.38	10.58	3.95	9.73	0.06	0.46	0.08	1.08	3.48	0	1
3.25	2.36	6	3.11	2.55	3.11	2.55	0.74	0.74	0.96	0	0.64	0	1
1.06	3.25	0.56	2.28	9.17	2.28	4.44	1.85	1.85	1.94	4.24	5.32	0	1
7.25	0.71	7.59	6.59	8.08	2.42	2.01	0.21	2.31	2.73	4.72	11.16	0	1
1.12	1.06	1.35	29.84	19.96	1.3	4.03	0.36	0.13	1.71	0	14.52	0	0
2.02	1.75	1.03	11.11	14.93	9.99	14.93	0.99	2.34	0.67	3.36	5.08	0	1
0.9	1.95	3.2	3.67	8.9	3.67	8.09	1.22	1.22	2.38	3.48	9	0	1
1.27	0.75	2.24	3.22	18.94	3.22	8.14	0.55	0.55	0.43	2.92	13.16	0	1
2.55	2.55	0.71	16.26	15.87	5.23	10.59	1.04	0.1	0.05	0	15.36	0	0
2.66	3.4	5.26	5.01	24.15	5.01	14.2	0.56	0.56	2.96	0	1.68	0	1
4.01	1.35	5.84	4.39	35.26	4.39	29.09	2.97	2.97	0.69	0	4	0	1
2.61	4.1	4.27	1.12	28.71	1.12	2.9	0.93	0.93	1.51	1.56	8.56	0	1
4.85	2.46	3.54	1	7.98	1	4.36	0.28	0.28	1.55	0	10.56	0	1
2.3	2.02	4.51	5.23	13.02	5.23	10.38	1.46	1.46	1.02	0	48.56	0	1
2.47	1.8	0.75	0.51	4.79	0.51	4.79	2.37	2.37	0.07	1.76	23.36	0	1
3.09	5.76	3.01	8.5	7.31	5.46	3.74	0.12	2.79	3.02	0	34.96	0	1
1.27	7.04	1.27	6.44	3.76	3.16	3.76	0.51	1.77	1	3.16	39.84	0	0
5.39	4.67	6.37	1.84	3.94	1.84	3.94	0.89	0.89	0.37	1	1.12	0	0
3.72	5.51	6.86	17.7	9.95	3.14	3.16	0.04	0.41	2.51	3.48	4.84	0	1
4.74	5.7	3.16	8.4	10.91	4.11	4.31	2.03	1.72	2.29	0	7.32	0	0
2.93	4.91	4.74	13.42	19.98	12.51	19.98	1.5	2.39	0.73	6.24	7.12	0	1
2.06	2.66	3.75	35.02	2.08	9.8	2.08	0.02	0.4	2.76	1.8	12.32	0	0
3.2	3.61	3.34	6.22	17.51	1.49	9.31	0.4	1.93	1.16	2.08	3.32	0	1
0.9	1.6	1.9	40.33	4	18.21	4	0.04	0.24	2.7	13.24	22.04	0	0
3.58	1.9	7.79	2.26	10.62	2.26	10.62	2.65	2.65	0.1	0	0.24	0	1
0.56	0.9	2.76	11.29	8.29	4.34	6.08	0	0.81	2.4	2.64	6.28	0	0
3.82	1.12	1.6	1.78	7.8	1.49	2.26	1.01	2.65	2.7	1.2	2.36	0	1
2.02	0.79	1.25	1.24	4.4	1.24	4.4	1.08	1.08	0.25	0	3.44	0	1
5.62	1	6.41	0.22	5.64	0.22	5.64	1.55	1.55	0.04	1.88	6.08	0	1
2.66	5.51	5.27	2.91	3.26	2.91	3.26	1.08	1.08	0.9	0.48	7.04	0	1
4.74	4.37	1.25	7.5	8.4	1.8	3.64	0.72	0.51	0.2	1.96	10.8	0	0
4.74	5.94	3.29	6.11	10.67	6.11	10.67	1.39	1.39	0.6	0	2.12	0	1
